import time: self [us] | cumulative | imported package
import time:        82 |         82 |                 pandas.core.reshape.util
import time:       133 |        133 |                 pandas.core.tools.numeric
import time:       272 |        486 |               pandas.core.reshape.melt
import time:       259 |        259 |                 pandas._libs.reshape
import time:       980 |        980 |                 pandas.core.indexes.accessors
import time:        93 |         93 |                   pandas.arrays
import time:       579 |        671 |                 pandas.core.tools.datetimes
import time:       755 |        755 |                 pandas.io.formats.info
import time:       787 |        787 |                   pandas.plotting._core
import time:       198 |        198 |                   pandas.plotting._misc
import time:       135 |       1119 |                 pandas.plotting
import time:      3012 |       6793 |               pandas.core.series
import time:      5546 |      44950 |             pandas.core.frame
import time:      1008 |       1008 |             pandas.core.groupby.base
import time:        50 |         50 |                 backports_abc
import time:       503 |        552 |               pandas._libs.groupby
import time:        88 |         88 |                 pandas.core.groupby.categorical
import time:       409 |        496 |               pandas.core.groupby.grouper
import time:       460 |       1508 |             pandas.core.groupby.ops
import time:       127 |        127 |               pandas.core.groupby.numba_
import time:       252 |        252 |               pandas.core.groupby.indexing
import time:      1804 |       2183 |             pandas.core.groupby.groupby
import time:      1649 |      52701 |           pandas.core.groupby.generic
import time:       127 |      52827 |         pandas.core.groupby
import time:       194 |      95341 |       pandas.core.api
import time:       104 |        104 |       pandas.tseries.api
import time:        68 |         68 |               pandas.core.computation.common
import time:       127 |        194 |             pandas.core.computation.align
import time:       186 |        186 |               pandas.core.computation.scope
import time:       401 |        586 |             pandas.core.computation.ops
import time:       150 |        929 |           pandas.core.computation.engines
import time:       108 |        108 |             pandas.core.computation.parsing
import time:       934 |       1041 |           pandas.core.computation.expr
import time:       138 |       2107 |         pandas.core.computation.eval
import time:        94 |       2201 |       pandas.core.computation.api
import time:       141 |        141 |         pandas.core.reshape.encoding
import time:       706 |        706 |         pandas.core.reshape.merge
import time:       598 |        598 |         pandas.core.reshape.pivot
import time:       195 |        195 |         pandas.core.reshape.tile
import time:       142 |       1779 |       pandas.core.reshape.api
import time:       110 |        110 |         pandas.api.extensions
import time:        83 |         83 |         pandas.api.indexers
import time:        67 |         67 |             pandas.core.interchange
import time:       720 |        787 |           pandas.core.interchange.dataframe_protocol
import time:       205 |        205 |             pandas.core.interchange.utils
import time:       203 |        407 |           pandas.core.interchange.from_dataframe
import time:        99 |       1292 |         pandas.api.interchange
import time:        79 |         79 |           pandas.core.dtypes.api
import time:       105 |        184 |         pandas.api.types
import time:      1090 |       1090 |           pandas.core.resample
import time:       152 |        152 |                 pandas._libs.json
import time:       157 |        157 |                 pandas.io.json._normalize
import time:       160 |        160 |                 pandas.io.json._table_schema
import time:        57 |         57 |                         backports_abc
import time:       492 |        549 |                       pandas._libs.parsers
import time:       555 |        555 |                         pandas.io.parsers.base_parser
import time:       194 |        748 |                       pandas.io.parsers.arrow_parser_wrapper
import time:       186 |        186 |                       pandas.io.parsers.c_parser_wrapper
import time:       359 |        359 |                       pandas.io.parsers.python_parser
import time:      1460 |       3300 |                     pandas.io.parsers.readers
import time:       104 |       3403 |                   pandas.io.parsers
import time:        28 |       3430 |                 pandas.io.parsers.readers
import time:       831 |       4727 |               pandas.io.json._json
import time:       104 |       4831 |             pandas.io.json
import time:        31 |       4862 |           pandas.io.json._json
import time:      1816 |       1816 |           pandas.io.stata
import time:       122 |       7889 |         pandas.api.typing
import time:       177 |       9733 |       pandas.api
import time:     13342 |      13342 |               tempfile
import time:       185 |      13527 |             pandas._testing.contexts
import time:       142 |      13669 |           pandas._testing._io
import time:       158 |        158 |           pandas._testing._warnings
import time:        50 |         50 |               cmath
import time:       255 |        305 |             pandas._libs.testing
import time:       326 |        630 |           pandas._testing.asserters
import time:       102 |        102 |           pandas._testing.compat
import time:       343 |      14901 |         pandas._testing
import time:       115 |      15015 |       pandas.testing
import time:       133 |        133 |       pandas.util._print_versions
import time:       116 |        116 |         pandas.io.clipboards
import time:       148 |        148 |             pandas.io.excel._util
import time:       250 |        250 |             pandas.io.excel._calamine
import time:       266 |        266 |             pandas.io.excel._odfreader
import time:       353 |        353 |             pandas.io.excel._openpyxl
import time:       185 |        185 |             pandas.io.excel._pyxlsb
