         22296485 function calls (22295808 primitive calls) in 80.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.001    0.000    0.016    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/utils.py:99(wrapper)
      312    0.001    0.000    0.001    0.000 <frozen os>:680(__getitem__)
      884    0.001    0.000    0.001    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
      576    0.001    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dependencies.py:201(_check_for_numpy)
     1008    0.001    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_metadata.py:62(_recursive_items)
     1416    0.001    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/wrap.py:24(wrap_expr)
       96    0.001    0.000    0.001    0.000 {method 'optimization_toggle' of 'builtins.PyLazyFrame' objects}
1891/1833    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      757    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      504    0.001    0.000    0.001    0.000 {lit}
       48    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/schema.py:91(__init__)
      144    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/wrap.py:12(wrap_df)
     1824    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/expr.py:121(_from_pyexpr)
       24    0.000    0.000    6.065    0.253 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_rf_hdf5.py:688(_cast_input_array)
     2932    0.000    0.000    0.000    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
      312    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/parse/expr.py:108(_parse_positional_inputs)
       24    0.000    0.000   17.592    0.733 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_rf_hdf5.py:439(rf_write)
     1815    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {concat_lf_horizontal}
      505    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      384    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/functions/col.py:31(_create_col)
       51    0.000    0.000    0.000    0.000 {built-in method posix.close}
     2744    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      144    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:3758(select)
      192    0.000    0.000    0.000    0.000 {method 'get_column' of 'builtins.PyDataFrame' objects}
       48    0.000    0.000    0.001    0.000 {built-in method numpy.array}
      384    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/functions/col.py:176(__call__)
    72/24    0.000    0.000    0.004    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/deprecation.py:87(wrapper)
       48    0.000    0.000    0.012    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:9634(select_seq)
    35/12    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
      300    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
      629    0.000    0.000    0.002    0.000 /usr/lib/python3.12/re/__init__.py:164(match)
       24    0.000    0.000    0.004    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/io/csv/functions.py:1027(scan_csv)
     1466    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/files.py:186(make_fcpl)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/functions/eager.py:26(concat)
       48    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:3867(select_seq)
      144    0.000    0.000    0.000    0.000 {method 'select' of 'builtins.PyLazyFrame' objects}
       49    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:3341(_filter)
        6    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/attrs.py:111(create)
      384    0.000    0.000    0.000    0.000 {col}
      192    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/getitem.py:128(get_df_item_by_key)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/io/cloud/credential_provider/_builder.py:226(f)
       24    0.000    0.000    0.000    0.000 {method '__array__' of 'numpy.ndarray' objects}
       25    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/csv2drf.py:260(__calculate_center_frequencies)
      288    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/wrap.py:20(wrap_s)
